species_name,genome_file_name,cds_file_name
parastagonospora_nodorum,parastagonospora_nodorum_genomic.fna,parastagonospora_nodorum_cds.fna
batrachochytrium_dendrobatidis,batrachochytrium_dendrobatidis_genomic.fna,batrachochytrium_dendrobatidis_cds.fna
aspergillus_flavus,aspergillus_flavus_genomic.fna,aspergillus_flavus_cds.fna
puccinia_graminis,puccinia_graminis_genomic.fna,puccinia_graminis_cds.fna
paracoccidioides_brasiliensis,paracoccidioides_brasiliensis_genomic.fna,paracoccidioides_brasiliensis_cds.fna
clavispora_lusitaniae,clavispora_lusitaniae_genomic.fna,clavispora_lusitaniae_cds.fna
debaryomyces_hansenii,debaryomyces_hansenii_genomic.fna,debaryomyces_hansenii_cds.fna
eremothecium_gossypii,eremothecium_gossypii_genomic.fna,eremothecium_gossypii_cds.fna
naumovozyma_castellii,naumovozyma_castellii_genomic.fna,naumovozyma_castellii_cds.fna
aspergillus_terreus,aspergillus_terreus_genomic.fna,aspergillus_terreus_cds.fna
guyanagaster_necrorhizus,guyanagaster_necrorhizus_genomic.fna,guyanagaster_necrorhizus_cds.fna
orbilia_oligospora,orbilia_oligospora_genomic.fna,orbilia_oligospora_cds.fna
fusarium_vanettenii,fusarium_vanettenii_genomic.fna,fusarium_vanettenii_cds.fna
fusarium_odoratissimum,fusarium_odoratissimum_genomic.fna,fusarium_odoratissimum_cds.fna
aaosphaeria_arxii,aaosphaeria_arxii_genomic.fna,aaosphaeria_arxii_cds.fna
dothidotthia_symphoricarpi,dothidotthia_symphoricarpi_genomic.fna,dothidotthia_symphoricarpi_cds.fna
didymella_exigua,didymella_exigua_genomic.fna,didymella_exigua_cds.fna
eremomyces_bilateralis,eremomyces_bilateralis_genomic.fna,eremomyces_bilateralis_cds.fna
thermothielavioides_terrestris,thermothielavioides_terrestris_genomic.fna,thermothielavioides_terrestris_cds.fna
sodiomyces_alkalinus,sodiomyces_alkalinus_genomic.fna,sodiomyces_alkalinus_cds.fna
hyaloscypha_bicolor,hyaloscypha_bicolor_genomic.fna,hyaloscypha_bicolor_cds.fna
yamadazyma_tenuis,yamadazyma_tenuis_genomic.fna,yamadazyma_tenuis_cds.fna
aspergillus_homomorphus,aspergillus_homomorphus_genomic.fna,aspergillus_homomorphus_cds.fna
aspergillus_ibericus,aspergillus_ibericus_genomic.fna,aspergillus_ibericus_cds.fna
aspergillus_costaricensis,aspergillus_costaricensis_genomic.fna,aspergillus_costaricensis_cds.fna
aspergillus_fijiensis,aspergillus_fijiensis_genomic.fna,aspergillus_fijiensis_cds.fna
aspergillus_japonicus,aspergillus_japonicus_genomic.fna,aspergillus_japonicus_cds.fna
aspergillus_aculeatinus,aspergillus_aculeatinus_genomic.fna,aspergillus_aculeatinus_cds.fna
aspergillus_piperis,aspergillus_piperis_genomic.fna,aspergillus_piperis_cds.fna
aspergillus_brunneoviolaceus,aspergillus_brunneoviolaceus_genomic.fna,aspergillus_brunneoviolaceus_cds.fna
aspergillus_uvarum,aspergillus_uvarum_genomic.fna,aspergillus_uvarum_cds.fna
aspergillus_neoniger,aspergillus_neoniger_genomic.fna,aspergillus_neoniger_cds.fna
aspergillus_saccharolyticus,aspergillus_saccharolyticus_genomic.fna,aspergillus_saccharolyticus_cds.fna
aspergillus_vadensis,aspergillus_vadensis_genomic.fna,aspergillus_vadensis_cds.fna
gaeumannomyces_tritici,gaeumannomyces_tritici_genomic.fna,gaeumannomyces_tritici_cds.fna
pseudocercospora_fijiensis,pseudocercospora_fijiensis_genomic.fna,pseudocercospora_fijiensis_cds.fna
blastomyces_gilchristii,blastomyces_gilchristii_genomic.fna,blastomyces_gilchristii_cds.fna
baudoinia_panamericana,baudoinia_panamericana_genomic.fna,baudoinia_panamericana_cds.fna
wallemia_mellicola,wallemia_mellicola_genomic.fna,wallemia_mellicola_cds.fna
amorphotheca_resinae,amorphotheca_resinae_genomic.fna,amorphotheca_resinae_cds.fna
fonsecaea_multimorphosa,fonsecaea_multimorphosa_genomic.fna,fonsecaea_multimorphosa_cds.fna
rhinocladiella_mackenziei,rhinocladiella_mackenziei_genomic.fna,rhinocladiella_mackenziei_cds.fna
cladophialophora_bantiana,cladophialophora_bantiana_genomic.fna,cladophialophora_bantiana_cds.fna
fonsecaea_pedrosoi,fonsecaea_pedrosoi_genomic.fna,fonsecaea_pedrosoi_cds.fna
aureobasidium_subglaciale,aureobasidium_subglaciale_genomic.fna,aureobasidium_subglaciale_cds.fna
aureobasidium_namibiae,aureobasidium_namibiae_genomic.fna,aureobasidium_namibiae_cds.fna
aureobasidium_melanogenum,aureobasidium_melanogenum_genomic.fna,aureobasidium_melanogenum_cds.fna
aspergillus_ruber,aspergillus_ruber_genomic.fna,aspergillus_ruber_cds.fna
kalmanozyma_brasiliensis,kalmanozyma_brasiliensis_genomic.fna,kalmanozyma_brasiliensis_cds.fna
kuraishia_capsulata,kuraishia_capsulata_genomic.fna,kuraishia_capsulata_cds.fna
pseudozyma_flocculosa,pseudozyma_flocculosa_genomic.fna,pseudozyma_flocculosa_cds.fna
