species_name,genome_file_name,cds_file_name
aruber,aruber_genome.fna,aruber_cds.fna
kbrasiliensis,kbrasiliensis_genome.fna,kbrasiliensis_cds.fna
kcapsulata,kcapsulata_genome.fna,kcapsulata_cds.fna
pflocculosa,pflocculosa_genome.fna,pflocculosa_cds.fna
proqueforti,proqueforti_genome.fna,proqueforti_cds.fna
epusillum,epusillum_genome.fna,epusillum_cds.fna
valfalfae,valfalfae_genome.fna,valfalfae_cds.fna
mbicuspidata,mbicuspidata_genome.fna,mbicuspidata_cds.fna
arubescens,arubescens_genome.fna,arubescens_cds.fna
stanzawaensis,stanzawaensis_genome.fna,stanzawaensis_cds.fna
tasperellum,tasperellum_genome.fna,tasperellum_cds.fna
binositovora,binositovora_genome.fna,binositovora_cds.fna
hburtonii,hburtonii_genome.fna,hburtonii_cds.fna
zcellare,zcellare_genome.fna,zcellare_cds.fna
asydowii,asydowii_genome.fna,asydowii_cds.fna
pzonata,pzonata_genome.fna,pzonata_cds.fna
aversicolor,aversicolor_genome.fna,aversicolor_cds.fna
atubingensis,atubingensis_genome.fna,atubingensis_cds.fna
phubeiensis,phubeiensis_genome.fna,phubeiensis_cds.fna
aprunicola,aprunicola_genome.fna,aprunicola_cds.fna
xheveae,xheveae_genome.fna,xheveae_cds.fna
cwingfieldii,cwingfieldii_genome.fna,cwingfieldii_cds.fna
daciculare,daciculare_genome.fna,daciculare_cds.fna
lsulphureus,lsulphureus_genome.fna,lsulphureus_cds.fna
cberberidis,cberberidis_genome.fna,cberberidis_cds.fna
wichthyophaga,wichthyophaga_genome.fna,wichthyophaga_cds.fna
aglaucus,aglaucus_genome.fna,aglaucus_cds.fna
msympodialis,msympodialis_genome.fna,msympodialis_cds.fna
kdejecticola,kdejecticola_genome.fna,kdejecticola_cds.fna
kbestiolae,kbestiolae_genome.fna,kbestiolae_cds.fna
kpini,kpini_genome.fna,kpini_cds.fna
pminimum,pminimum_genome.fna,pminimum_cds.fna
cpsammophila,cpsammophila_genome.fna,cpsammophila_cds.fna
mantarcticus,mantarcticus_genome.fna,mantarcticus_cds.fna
ccarrionii,ccarrionii_genome.fna,ccarrionii_cds.fna
mbrunneum,mbrunneum_genome.fna,mbrunneum_cds.fna
plutzii,plutzii_genome.fna,plutzii_cds.fna
pfici,pfici_genome.fna,pfici_cds.fna
ceuropaea,ceuropaea_genome.fna,ceuropaea_cds.fna
pkudriavzevii,pkudriavzevii_genome.fna,pkudriavzevii_cds.fna
awentii,awentii_genome.fna,awentii_cds.fna
pmembranifaciens,pmembranifaciens_genome.fna,pmembranifaciens_cds.fna
oparapolymorpha,oparapolymorpha_genome.fna,oparapolymorpha_cds.fna
fpseudograminearum,fpseudograminearum_genome.fna,fpseudograminearum_cds.fna
dsqualens,dsqualens_genome.fna,dsqualens_cds.fna
hirregulare,hirregulare_genome.fna,hirregulare_cds.fna
eaquamarina,eaquamarina_genome.fna,eaquamarina_cds.fna
cyegresii,cyegresii_genome.fna,cyegresii_cds.fna
cepimyces,cepimyces_genome.fna,cepimyces_cds.fna
ccoronata,ccoronata_genome.fna,ccoronata_cds.fna
bvictoriae,bvictoriae_genome.fna,bvictoriae_cds.fna
bzeicola,bzeicola_genome.fna,bzeicola_cds.fna
boryzae,boryzae_genome.fna,boryzae_cds.fna
capollinis,capollinis_genome.fna,capollinis_cds.fna
mrobertsii,mrobertsii_genome.fna,mrobertsii_cds.fna
ffulva,ffulva_genome.fna,ffulva_cds.fna
aaculeatus,aaculeatus_genome.fna,aaculeatus_cds.fna
knaganishii,knaganishii_genome.fna,knaganishii_cds.fna
kafricana,kafricana_genome.fna,kafricana_cds.fna
tblattae,tblattae_genome.fna,tblattae_cds.fna
tphaffii,tphaffii_genome.fna,tphaffii_cds.fna
ndairenensis,ndairenensis_genome.fna,ndairenensis_cds.fna
aarborescens,aarborescens_genome.fna,aarborescens_cds.fna
cfumosorosea,cfumosorosea_genome.fna,cfumosorosea_cds.fna
malbum,malbum_genome.fna,malbum_cds.fna
ecymbalariae,ecymbalariae_genome.fna,ecymbalariae_cds.fna
chigginsianum,chigginsianum_genome.fna,chigginsianum_cds.fna
tmesenterica,tmesenterica_genome.fna,tmesenterica_cds.fna
scomplicata,scomplicata_genome.fna,scomplicata_cds.fna
tthermophilus,tthermophilus_genome.fna,tthermophilus_cds.fna
cmilitaris,cmilitaris_genome.fna,cmilitaris_cds.fna
gtrabeum,gtrabeum_genome.fna,gtrabeum_cds.fna
vculicis,vculicis_genome.fna,vculicis_cds.fna
fmediterranea,fmediterranea_genome.fna,fmediterranea_cds.fna
tversicolor,tversicolor_genome.fna,tversicolor_cds.fna
cputeana,cputeana_genome.fna,cputeana_cds.fna
bsorokiniana,bsorokiniana_genome.fna,bsorokiniana_cds.fna
spassalidarum,spassalidarum_genome.fna,spassalidarum_cds.fna
mosmundae,mosmundae_genome.fna,mosmundae_cds.fna
